gene1,gene2,shared,jaccard,fisher_or,fisher_p,spearman_rho,set1_size,set2_size
EIF2S1,PELO,559,0.5248826291079812,132.38577387554875,0.0,0.987294591991915,812,812
LTN1,NEMF,512,0.460431654676259,85.9704888888889,0.0,0.986316151182753,812,812
EIF2S1,TMEM97,437,0.36815501263689976,46.72831288888889,0.0,0.957605923721631,812,812
PELO,TMEM97,410,0.33772652388797364,38.081359372292766,0.0,0.9624288726723842,812,812
EIF2S1,LTN1,314,0.23969465648854962,18.882743826712474,1.611547829639616e-211,0.937461754352159,812,812
EIF2S1,NEMF,286,0.21375186846038863,15.38765921149648,4.986506754513043e-177,0.9245383764532145,812,812
PELO,LTN1,230,0.1649928263988522,10.069850379660137,1.2539471844541772e-115,0.9127021951448678,812,812
PELO,NEMF,219,0.15587188612099645,9.228978327821208,8.529742364934187e-105,0.9002158640110414,812,812
PELO,HSPA5,198,0.1388499298737728,7.771976360491888,2.7446076050826613e-85,0.7954135682296648,812,812
EIF2S1,HSPA5,174,0.12,6.31547449415788,5.86488037398671e-65,0.7889619965203426,812,812
TMEM97,SIGMAR1,163,0.11156741957563313,5.713113216730255,2.239894881913458e-56,0.911817431609244,812,812
PELO,SIGMAR1,151,0.10251188051595383,5.097949057152208,1.4386548803697363e-47,0.8890087260930623,812,812
LTN1,TMEM97,128,0.0855614973262032,4.029410758865976,2.107557789954033e-32,0.8397577999652733,812,812
NEMF,TMEM97,98,0.06422018348623854,2.825451749327182,2.2143144420428724e-16,0.8254971662789939,812,812
LTN1,HSPA5,85,0.05523066926575698,2.361696330759523,6.058100972967824e-11,0.7598715678899794,812,812
TMEM97,HSPA5,81,0.0524951393389501,2.2253888289003125,1.7808137610104842e-09,0.6782128481298184,812,812
NEMF,HSPA5,80,0.05181347150259067,2.1917644599719313,3.998422181973579e-09,0.7456570587551806,812,812
EIF2S1,SIGMAR1,60,0.03836317135549872,1.5554266636487097,0.001573107738781082,0.8525395017135711,812,812
HSPA5,SIGMAR1,29,0.01818181818181818,0.6919729435693676,0.9814236361750315,0.6287358317833146,812,812
NEMF,SIGMAR1,10,0.006195786864931847,0.2271441098003122,0.9999999993672767,0.7098797843587145,812,812
LTN1,SIGMAR1,1,0.0006161429451632779,0.0221993824129076,1.0,0.702459655448776,812,812
