group,gene1,gene2,shared,jaccard,fisher_or,fisher_p,spearman_rho,set1_size,set2_size
All,LTN1,NEMF,594,0.589286,207.994959,0.0,0.960631,801,801
All,EIF2S1,PELO,432,0.369231,47.089431,0.0,0.9443,801,801
All,EIF2S1,TMEM97,275,0.207234,14.596044,2.4753881824675502e-166,0.846496,801,801
All,EIF2S1,LTN1,212,0.152518,8.93536,1.4183226600585797e-99,0.763164,801,801
All,PELO,TMEM97,206,0.147564,8.504755,6.29359689598531e-94,0.804118,801,801
All,EIF2S1,NEMF,94,0.062334,2.727576,5.363542307616913e-15,0.586769,801,801
All,PELO,LTN1,60,0.038911,1.581187,0.001121604160107407,0.607346,801,801
All,PELO,HSPA5,21,0.013283,0.498111,0.9997970949753772,0.032987,801,801
All,LTN1,TMEM97,17,0.010726,0.399018,0.9999938377587149,0.433726,801,801
All,PELO,NEMF,12,0.007547,0.278005,0.999999981472699,0.412256,801,801
All,TMEM97,HSPA5,10,0.006281,0.230469,0.9999999989815176,-0.095744,801,801
All,EIF2S1,HSPA5,8,0.005019,0.183421,0.9999999999636021,-0.115583,801,801
All,TMEM97,SIGMAR1,3,0.001876,0.0679,0.9999999999999996,-0.244391,801,801
All,NEMF,TMEM97,2,0.00125,0.04515,1.0,0.229466,801,801
All,NEMF,HSPA5,1,0.000625,0.022517,1.0,-0.184279,801,801
All,EIF2S1,SIGMAR1,0,0.0,0.0,1.0,-0.607284,801,801
All,PELO,SIGMAR1,0,0.0,0.0,1.0,-0.603422,801,801
All,LTN1,HSPA5,0,0.0,0.0,1.0,-0.223253,801,801
All,LTN1,SIGMAR1,0,0.0,0.0,1.0,-0.770798,801,801
All,NEMF,SIGMAR1,0,0.0,0.0,1.0,-0.743535,801,801
All,HSPA5,SIGMAR1,0,0.0,0.0,1.0,-0.208454,801,801
Control,LTN1,NEMF,607,0.61005,242.196806,0.0,0.959591,801,801
Control,EIF2S1,PELO,490,0.440647,75.485158,0.0,0.962424,801,801
Control,EIF2S1,TMEM97,194,0.137784,7.689466,5.0594526533658986e-83,0.773715,801,801
Control,EIF2S1,HSPA5,181,0.127375,6.870372,8.286875614263687e-72,0.615372,801,801
Control,PELO,TMEM97,158,0.109418,5.567178,1.4555767615660147e-53,0.75016,801,801
Control,EIF2S1,LTN1,137,0.093515,4.520202,8.407879420809892e-39,0.645249,801,801
Control,PELO,HSPA5,123,0.083164,3.888669,4.779281230351124e-30,0.536615,801,801
Control,PELO,LTN1,83,0.054641,2.333391,1.6542307412166577e-10,0.578636,801,801
Control,LTN1,HSPA5,79,0.051871,2.195792,4.632466038957112e-09,0.480074,801,801
Control,TMEM97,HSPA5,71,0.046375,1.929351,1.7534592577385095e-06,0.433502,801,801
Control,NEMF,HSPA5,64,0.041612,1.705429,0.0001358765396336388,0.417664,801,801
Control,EIF2S1,NEMF,60,0.038911,1.581187,0.001121604160107407,0.454109,801,801
Control,PELO,NEMF,27,0.017143,0.650667,0.9910361272084953,0.389836,801,801
Control,EIF2S1,SIGMAR1,0,0.0,0.0,1.0,-0.825996,801,801
Control,PELO,SIGMAR1,0,0.0,0.0,1.0,-0.817952,801,801
Control,LTN1,TMEM97,0,0.0,0.0,1.0,0.120038,801,801
Control,LTN1,SIGMAR1,0,0.0,0.0,1.0,-0.845283,801,801
Control,NEMF,TMEM97,0,0.0,0.0,1.0,-0.105876,801,801
Control,NEMF,SIGMAR1,0,0.0,0.0,1.0,-0.717955,801,801
Control,TMEM97,SIGMAR1,0,0.0,0.0,1.0,-0.462796,801,801
Control,HSPA5,SIGMAR1,0,0.0,0.0,1.0,-0.535814,801,801
PD,LTN1,NEMF,516,0.475138,94.820757,0.0,0.890868,801,801
PD,EIF2S1,PELO,344,0.27345,24.301653,2.4868985942799394e-254,0.888181,801,801
PD,EIF2S1,LTN1,112,0.075168,3.426147,7.972944848764856e-24,0.481236,801,801
PD,TMEM97,SIGMAR1,100,0.066578,2.952782,9.61496887732281e-18,0.360732,801,801
PD,EIF2S1,TMEM97,85,0.056032,2.403317,2.8643821852956523e-11,0.385032,801,801
PD,PELO,HSPA5,30,0.019084,0.728752,0.9650366876669191,0.200897,801,801
PD,PELO,TMEM97,28,0.017789,0.67656,0.9853798376827315,0.242011,801,801
PD,EIF2S1,NEMF,23,0.014566,0.548435,0.9991454582973379,0.14274,801,801
PD,LTN1,TMEM97,23,0.014566,0.548435,0.9991454582973379,0.117688,801,801
PD,PELO,LTN1,17,0.010726,0.399018,0.9999938377587149,0.216309,801,801
PD,NEMF,TMEM97,10,0.006281,0.230469,0.9999999989815176,0.053626,801,801
PD,TMEM97,HSPA5,9,0.00565,0.206884,0.9999999997956048,-0.303778,801,801
PD,EIF2S1,HSPA5,5,0.003131,0.113752,0.9999999999999166,-0.02204,801,801
PD,PELO,NEMF,2,0.00125,0.04515,1.0,-0.133456,801,801
PD,EIF2S1,SIGMAR1,0,0.0,0.0,1.0,-0.21712,801,801
PD,PELO,SIGMAR1,0,0.0,0.0,1.0,-0.108756,801,801
PD,LTN1,HSPA5,0,0.0,0.0,1.0,-0.220801,801,801
PD,LTN1,SIGMAR1,0,0.0,0.0,1.0,-0.717677,801,801
PD,NEMF,HSPA5,0,0.0,0.0,1.0,-0.221496,801,801
PD,NEMF,SIGMAR1,0,0.0,0.0,1.0,-0.709064,801,801
PD,HSPA5,SIGMAR1,0,0.0,0.0,1.0,-0.333403,801,801
