pair_index,random_pair_gap
EIF2S1-PELO_observed,0.42446800814525004
0,0.7186851240164268
1,0.6338718825809972
2,0.6543816744783688
3,0.6466956653150832
4,0.6047733082854875
5,0.6757636492337156
6,0.7589657699483676
7,0.6384297122970924
8,0.6513182869031721
9,0.6729253969329185
10,0.7206517999099569
11,0.6968400595789259
12,0.5508915182961958
13,0.7010830495737848
14,0.6711690585502504
15,0.5693614251829651
16,0.7160444839812973
17,0.6561008409582653
18,0.6748902151768227
19,0.7083158344434316
20,0.7314922158945951
21,0.5686897760959962
22,0.6693744792774781
23,0.6890677764462028
24,0.641341408917753
25,0.7229078819299058
26,0.6920926466491283
27,0.6681437742333328
28,0.6111892262125361
29,0.5486813704043741
30,0.6026633418075048
31,0.7030128111058008
32,0.6712367886022992
33,0.4943192633481844
34,0.7008325644690931
35,0.6265495765940521
36,0.7071143941425416
37,0.6749931394717691
38,0.5029286291238151
39,0.6649642625479882
40,0.7476385134188713
41,0.618697595731283
42,0.2934698565019598
43,0.6362433931607485
44,0.6698828890520605
45,0.681989844451917
46,0.6104627620401153
47,0.6861339804841219
48,0.4738849533749052
49,0.7079717297964148
50,0.6331889619966515
51,0.6335146613774207
52,0.6181950432783417
53,0.5524580317256601
54,0.7515675747246283
55,0.6937572278817606
56,0.4897625497802273
57,0.5039878190122657
58,0.6743752394116838
59,0.5687773953815272
60,0.6531297532866305
61,0.7790697199632911
62,0.6867731363734378
63,0.5651725193062863
64,0.653666815402483
65,0.4205751512377387
66,0.7634827529773799
67,0.5913962905326883
68,0.5725704956979197
69,0.6694270225769806
70,0.6718997386246075
71,0.7281497802058026
72,0.7430133315682044
73,0.5536846746393701
74,0.2250165343184286
75,0.6792469740094098
76,0.7453378135504913
77,0.7591862828029737
78,0.5373602937702188
79,0.5626019743664886
80,0.7530489473736036
81,0.7493291225979877
82,0.7143556554053827
83,0.6447024211165443
84,0.736524058378456
85,0.5024826176196423
86,0.5744708031947581
87,0.5764984548964271
88,0.5776613934301578
89,0.6029691407627383
90,0.7705138548750488
91,0.6429064332853855
92,0.636142754092972
93,0.7152711663923967
94,0.547032820525793
95,0.6755211888664853
96,0.5882775703644858
97,0.6379945477186646
98,0.5123974538228953
99,0.7484345134331736
100,0.6095910062161778
101,0.7043126147367628
102,0.6487605653732821
103,0.5907183817881779
104,0.7100197815374816
105,0.5317504631254115
106,0.6463356455684586
107,0.701519254748293
108,0.6405970448551096
109,0.6803977123713988
110,0.5852579735184092
111,0.4692218142497567
112,0.7953657548127483
113,0.7144720553927372
114,0.6257250228524461
115,0.7384516258269448
116,0.7137062126631397
117,0.6597555966163847
118,0.7699909619573608
119,0.6062737549862951
120,0.5782733094751094
121,0.681180268416052
122,0.6595817003942788
123,0.7013521721601926
124,0.5518008608995368
125,0.6450328989193991
126,0.4605380393279712
127,0.5136256225912642
128,0.6570785451975449
129,0.6662394792412362
130,0.6974100912181047
131,0.5353072221928753
132,0.6697482117836053
133,0.7751858171835723
134,0.5211807533414489
135,0.587419283651481
136,0.6486961911284375
137,0.7446102578401508
138,0.6838418078001903
139,0.6760042767257833
140,0.5906085500628764
141,0.736706381611576
142,0.7413196947894433
143,0.5788508840820973
144,0.6924871505868593
145,0.5675970151358544
146,0.6983101666692966
147,0.6218655557036927
148,0.530623658109977
149,0.49715708486855714
150,0.5803667352140026
151,0.654079117242821
152,0.6905755213421543
153,0.6915837914459351
154,0.7608162050946221
155,0.6743992219364002
156,0.5909378154676015
157,0.69362433719716
158,0.6924843456144677
159,0.721415458015825
160,0.6969109351041911
161,0.530805034566967
162,0.5149402386396921
163,0.6939030336880803
164,0.5762241252597933
165,0.6565955537623549
166,0.4838183104109345
167,0.7142637677015984
168,0.6096517178142132
169,0.6989533315305788
170,0.6121549766018342
171,0.7263193180077323
172,0.5530509006870729
173,0.7161961186618351
174,0.7154157200463566
175,0.6953639829433328
176,0.7091322047622038
177,0.630026889423216
178,0.6588309441452335
179,0.5675391807146993
180,0.6374708285674058
181,0.7235448974767171
182,0.7240689201755837
183,0.5511288238258635
184,0.5739878294309583
185,0.7421546158964736
186,0.6988751400768093
187,0.706843937856721
188,0.5484468067185465
189,0.7476863760233071
190,0.6564654167865055
191,0.7176806512220149
192,0.5953363551024876
193,0.5884271392424014
194,0.7051416243549841
195,0.6854529041752104
196,0.6541004958044551
197,0.7830173414953775
198,0.58097162283514
199,0.725031891101333
