target,partner,pearson_r
TCF25,DDX41,0.9787474274635315
TCF25,USP5,0.9786441326141357
TCF25,DHX30,0.9764566421508789
TCF25,PPP6R2,0.9746191501617432
TCF25,PRPF19,0.973103940486908
TCF25,ATP6AP1,0.9728973507881165
TCF25,OTUD5,0.97265625
TCF25,ABCF3,0.9722780585289001
TCF25,LRRC47,0.9721847176551819
TCF25,CCAR2,0.9721075296401978
ASCC1,TMED10,0.9264143705368042
ASCC1,SSR3,0.90464186668396
ASCC1,TMCO1,0.9030764698982239
ASCC1,RHOA,0.8971254825592041
ASCC1,DAZAP2,0.8950155973434448
ASCC1,SEC23B,0.8907042145729065
ASCC1,ADIPOR1,0.8904196619987488
ASCC1,NUP43,0.8894219994544983
ASCC1,RAB10,0.8884047269821167
ASCC1,UBE2H,0.8876945972442627
ASCC2,RRBP1,0.8957005739212036
ASCC2,TMEM150A,0.895095944404602
ASCC2,SEC61A1,0.8886851668357849
ASCC2,SLC8B1,0.8837383389472961
ASCC2,LMNA,0.8809571266174316
ASCC2,SCAMP2,0.8756373524665833
ASCC2,AK2,0.8738398551940918
ASCC2,PTBP1,0.8728024959564209
ASCC2,ARHGAP17,0.8726864457130432
ASCC2,RELA,0.8719839453697205
ASCC3,PGM3,0.9223067164421082
ASCC3,WAPL,0.9142783284187317
ASCC3,PRRC1,0.9127511382102966
ASCC3,MCMBP,0.9065582752227783
ASCC3,SMC3,0.9051940441131592
ASCC3,NUP160,0.9024538397789001
ASCC3,TMED10,0.8998321890830994
ASCC3,TNPO1,0.8974606394767761
ASCC3,FKBP14,0.8973500728607178
ASCC3,ZNF800,0.8972173929214478
TRIP4,IST1,0.9156589508056641
TRIP4,RBM39,0.9108549356460571
TRIP4,ELOA,0.8997392058372498
TRIP4,CNOT2,0.8926633596420288
TRIP4,SRSF1,0.8915776014328003
TRIP4,PRPF3,0.8915604948997498
TRIP4,MITD1,0.8914831876754761
TRIP4,SNX9,0.8909662365913391
TRIP4,NOL8,0.8905813694000244
TRIP4,SUPT20H,0.8898435831069946
